timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-11-10,189.9,191.0,180.03,190.72,190.72,132703015,0.0000,1.0
2022-11-09,190.775,195.89,177.12,177.59,177.59,127062659,0.0000,1.0
2022-11-08,194.02,195.2,186.75,191.3,191.3,128803404,0.0000,1.0
2022-11-07,208.65,208.9,196.66,197.08,197.08,93916520,0.0000,1.0
2022-11-04,222.6,223.8,203.08,207.47,207.47,98622212,0.0000,1.0
2022-11-03,211.36,221.2,210.14,215.31,215.31,56538848,0.0000,1.0
2022-11-02,226.04,227.8699,214.82,214.98,214.98,63070293,0.0000,1.0
2022-11-01,234.05,237.3951,227.28,227.82,227.82,62688822,0.0000,1.0
2022-10-31,226.19,229.85,221.94,227.54,227.54,61554341,0.0000,1.0
2022-10-28,225.4,228.86,216.35,228.52,228.52,69152386,0.0000,1.0
2022-10-27,229.77,233.81,222.85,225.09,225.09,61638824,0.0000,1.0
2022-10-26,219.4,230.6,218.2,224.64,224.64,85327078,0.0000,1.0
2022-10-25,210.1,224.3498,210.0,222.415,222.415,96507870,0.0000,1.0
2022-10-24,205.82,213.5,198.5863,211.25,211.25,100446765,0.0000,1.0
2022-10-21,206.415,214.66,203.8,214.44,214.44,75713754,0.0000,1.0
2022-10-20,208.28,215.55,202.0,207.28,207.28,117798062,0.0000,1.0
2022-10-19,219.8,222.93,217.78,222.04,222.04,66571479,0.0000,1.0
2022-10-18,229.5,229.82,217.25,220.19,220.19,75891905,0.0000,1.0
2022-10-17,210.04,221.86,209.45,219.35,219.35,79428810,0.0000,1.0
2022-10-14,224.01,226.26,204.16,204.99,204.99,94124511,0.0000,1.0
2022-10-13,208.3,222.99,206.22,221.72,221.72,91483045,0.0000,1.0
2022-10-12,215.33,219.2999,211.51,217.24,217.24,66860699,0.0000,1.0
2022-10-11,220.945,225.75,215.0,216.5,216.5,77013202,0.0000,1.0
2022-10-10,223.93,226.99,218.3582,222.96,222.96,67925018,0.0000,1.0
2022-10-07,233.935,234.5715,222.02,223.07,223.07,83916800,0.0000,1.0
2022-10-06,239.44,244.58,235.35,238.13,238.13,69298437,0.0000,1.0
2022-10-05,245.01,246.6697,233.27,240.81,240.81,86982673,0.0000,1.0
2022-10-04,250.52,257.5,242.01,249.44,249.44,109578535,0.0000,1.0
2022-10-03,254.5,255.16,241.01,242.4,242.4,98363541,0.0000,1.0
2022-09-30,266.145,275.57,262.47,265.25,265.25,67726598,0.0000,1.0
2022-09-29,282.76,283.65,265.78,268.21,268.21,77620642,0.0000,1.0
2022-09-28,283.08,289.0,277.57,287.81,287.81,54664809,0.0000,1.0
2022-09-27,283.84,288.67,277.51,282.94,282.94,61925185,0.0000,1.0
2022-09-26,271.83,284.09,270.31,276.01,276.01,58076913,0.0000,1.0
2022-09-23,283.09,284.5,272.82,275.33,275.33,63748362,0.0000,1.0
2022-09-22,299.86,301.29,285.82,288.59,288.59,70107683,0.0000,1.0
2022-09-21,308.29,313.8,300.63,300.8,300.8,62555656,0.0000,1.0
2022-09-20,306.91,313.33,305.58,308.73,308.73,61642783,0.0000,1.0
